PLAYER_NAME,pred_sigma,Y_pred
Rui Hachimura,8.713918171,23.86614515
Jarred Vanderbilt,9.395235104,18.89055223
Malik Beasley,8.679928543,8.686587608
Kevin Love,11.67563846,25.45299408
Jonathan Kuminga,10.59120736,8.622837607
Draymond Green,11.77987786,35.92148729
Kevon Looney,7.338519475,27.3457583
Moses Moody,8.240841456,14.0997427
Jordan Poole,10.05293762,21.56493944
Anthony Lamb,8.329739605,7.505272705
Klay Thompson,10.01156588,30.44568437
RJ Barrett,10.09028832,29.60045631
Julius Randle,10.73112025,29.96751096
Mitchell Robinson,10.09541796,27.13211472
Jalen Brunson,9.594695428,35.83409525
Immanuel Quickley,9.899231887,15.81539634
Miles McBride,7.864896269,5.95645823
Isaiah Hartenstein,10.09976381,20.00952391
Derrick Rose,11.00247083,10.46730705
Evan Fournier,9.550019107,0
Quentin Grimes,8.861808418,9.384611821
Mo Bamba,9.854061051,6.035609969
D'Angelo Russell,12.24728944,31.03674371
Josh Hart,10.22051334,26.26310386
Lonnie Walker IV,8.714226428,10.60654773
LeBron James,12.17466561,44.91968813
Dennis Schroder,9.785438802,19.1714106
Troy Brown Jr.,8.288456679,8.358969335
Wenyen Gabriel,7.789975271,6.028227577
Austin Reaves,10.19868826,15.63707346
Max Strus,9.758024623,18.12612784
Haywood Highsmith,7.874725477,7.215576788
Bam Adebayo,11.18248457,33.95470936
Tyler Herro,10.07057778,0
Victor Oladipo,11.47924012,24.98824303
Duncan Robinson,8.733617673,16.69770906
Udonis Haslem,8.455399454,0
Gary Payton II,9.97783097,12.82854089
Donte DiVincenzo,8.490398434,18.36498044
JaMychal Green,8.859731801,10.9480018
Jimmy Butler,11.89328122,51.4728525
Anthony Davis,15.77403134,49.97699275
Caleb Martin,9.419614476,22.29547115
Stephen Curry,12.33764102,45.50355517
Kyle Lowry,10.91878489,26.63011907
Obi Toppin,7.822616538,14.92174891
Gabe Vincent,8.731128165,24.99070399
Andrew Wiggins,10.1696363,28.87218165
DaQuan Jeffries,7.357400767,4.99298693
Cody Zeller,8.496572224,11.24247456
Shaquille Harrison,9.454495805,6.75542916
Omer Yurtseven,8.285668712,4.023527678
Tristan Thompson,9.953727669,17.64294062
